english_name,scientific_name,afrikaans_name,photo_name,length_to_measure,bag_limit,size_limit,closed_season,sasaa_heavy_tackle_record,sasaa_light_tackle_record,sasaa_women_record,sasaa_junior_record_u_21,sasaa_junior_u16_record,deep_sea_record_all_tackle,sassi_list,distribution_map,notes,salt_fresh_water,distribution
Black musselcracker,Cymatoceps nasutus,Poenskop / Swart steenbras,Cymatoceps nasutus.jpg,Fork length,1,50 cm,Open all year,105 cm,100 cm,51 cm,82 cm,66 cm,37.8 kg,ORANGE,Map9.jpg,"Black musselcracker are known by many names, including Poenskop, Black Steenbras, and Swart biskop.  Black musselcracker can grow to more than 30kg, but catches are usually smaller than 10kg.  They inhabit shallow, rocky coastal areas down to 80m and rarely enters estuaries.  Body colour mostly blueish black in adults with a white belly, while juveniles are khaki-coloured with yellow streaks.  Prefers clearer, warmer water.  Sensitive to changes in water temperature.  Feeds on crabs, crayfish, sea urchins and other hard-shelled animals.  Black musselcracker takes almost any bait and are usually targeted using fish fillet or even whole live bait such as karanteen.   Flesh is excellent and does not become coarse in larger specimens as in other species.  Occurs from Kosi Bay to Cape Agulhas",Salt,From Mozambique to Namibia
Black rubberlip / Harry hotlips,Plectorhinchus gibbosus,Swart rubberlip,Plectorhinchus gibbosus.jpg,Total length,10,No limit,Open all year,58 cm,58 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map24.jpg,"Adults are plain grey with dusky margins on fins and gills.  Juveniles brown to near black, mimicking leaves floating in surface waters.  Found over coastal reefs, sandbanks and near estuaries and also enters freshwater.  Small juveniles occur along sheltered sandy shorelines where they mimic a dead leaf by drifting on their sides.  Adults mainly in protected inshore reefs to deep offshore, sometimes swims in small groups.  Have been reported to be ciguatoxic.  Occurs from Mozambique to Port Edward",Salt,From Mozambique to Namibia
Blackback blaasop,Lagocephalus guentheri,Swartrug-blaasop,Lagocephalus guentheri.jpg,Total length,No limit,No limit,Open all year,47 cm,42 cm,0 cm,35 cm,28 cm,Not listed,NOT LISTED,Map13.jpg,"Maximum length about 30cm.  Dark olive-green above, silvery along the sides with light green cheeks and a white belly.  A shallow water species that rarely enters estuaries.  Essentially a scavenger and often caught by shore anglers.  Occurs from Kosi Bay to Port Elizabeth",Salt,From Mozambique to Port Edward
Blackfin reef shark,Carcharhinus melanopterus,Swartvin-rifhaai,Carcharhinus melanopterus.jpg,Pre-caudal length,1,No limit,Open all year,92 cm,0 cm,0 cm,0 cm,0 cm,Not listed,ORANGE,Map21.jpg,"A small shark with a short, bluntly rounded snout, oval eyes, and narrow-cusped teeth and a large 2nd dorsal fin.  Identified by the lemon-brown colour and distinct dark markings on all fins.  Inhabits shallow water close inshore on coral reefs and in the intertidal zone, near reef drop-offs and close offshore.  Also found in mangrove areas.  Occurs singly or in small groups.  Prefers fish but also feeds on crustaceans, cephalopods and molluscs.  Occurs from Mozambique to Namibia",Salt,From Mozambique to Port Edward
Blacksaddle goatfish,Parupeneus rubescens,Swart-saal bokvis,Parupeneus rubescens.jpg,Fork length,10,No limit,Open all year,55 cm,42 cm,0 cm,42 cm,34 cm,3.2 kg,NOT LISTED,Map20.jpg,"Attains a maximum length about 45cm.  Body colour varies from pink to olive-green, with a distinct black and white marking between the dorsal and tail fin.  Found on sandy bottoms and murky areas of coastal waters where it occurs single or in groups.  Diet consists of bottom-dwelling crustaceans, worms and molluscs.  Occurs from Mozambique to Mossel Bay",Salt,From Port Edward to Namibia
Blackspot shark,Carcharhinus sealei,Swartkolhaai,Carcharhinus sealei.jpg,Pre-caudal length,1,No limit,Open all year,78 cm,74 cm,0 cm,72 cm,58 cm,Not listed,ORANGE,Map19.jpg,"The Blackspot shark can be distinguished from other shark species with black markings on their fins by the fact that it is the only shark that has a distinct black marking on the second dorsal fin only.  Found on the continental and insular shelves, from the surf line and intertidal region to deeper water.  Feeds on small bony fish (including sea horses), prawns, and squid.  Often caught by shore anglers.  Occurs from Mozambique to Knysna",Salt,From Mozambique to Cape Agulhas
Blackspotted rubberlip,Plectorhinchus gaterinus,Swartspikkel-rubberlip,Plectorhinchus gaterinus.jpg,Total length,10,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map24.jpg,"About 12 black bars always present on body, with orange bars between black bars in younger fish.  Attains a maximum length of about 100cm.  Occurs in coastal reefs, sand banks and near estuaries.  Often in large groups under ledges or along coral slopes by day.  Flesh does not make for good eatinig.  Occurs from Mozambique to Port Edward",Salt,From Durban to Namibia
Blacktail,Diplodus sargus capensis,Dassie / Kolstert,Diplodus sargus capensis.jpg,Fork length,5,20 cm,Open all year,44 cm,44 cm,39 cm,38 cm,30 cm,Not listed,RED,Map21.jpg,"The blacktail is probably one of the most commonly caught species from the shore.  They are also known to enter rivers and estuaries and can grow to more than 2kg.  Young blacktail has fine crossbars and large adults can be almost uniformly black.  Adults occur in shallow rocky and sandy substrate venturing into sandy areas at night.  Juveniles are found on shallow reefs, estuary mouths and intertidal pools as well as over sandy beaches in surf zone.  Omnivorous on seaweeds, sponges and bivalves.  Also feeds on crustaceans, worms, molluscs, and fish.  Blacktail readily takes any bait and also artificial drop shot lures.  Flesh is excellent, although it does give off a strong odour.  Occurs from Mozambique to Namibia",Salt,From Durban to Namibia
Blacktip kingfish,Caranx sem,Swarttip-koningvis,Caranx sem.jpg,Fork length,5,No limit,Open all year,100 cm,86 cm,0 cm,92 cm,74 cm,13.06 kg,RED,Map22.jpg,"This species is most abundant in southern African waters during summer.  It prefers open coastal waters and is seldom found in turbid or estuarine waters.  Found over shallow nearshore reefs, often congregating in shoals.  This species is identified by the black-tipped tail fin.  Feeds on fish and crustaceans.  Seems to be a non-migratory species.  Occurs from Mozambique to Port Elizabeth",Salt,From Mozambique to Mossel Bay
Blacktip shark (Female),Carcharhinus limbatus,Swarttiphaai,Carcharhinus limbatus.jpg,Pre-caudal length,1,No limit,Open all year,220 cm,174 cm,0 cm,179 cm,143 cm,Not listed,ORANGE,Map18.jpg,"An inshore and offshore shark found on or adjacent to continental and insular shelves.  Often found off river mouths and estuaries, muddy bays, mangrove swamps, lagoons, and coral reef drop-offs.  Young common along beaches.  Feeds mainly on pelagic and bottom fish, also small sharks and rays, cephalopods and crustaceans.  Can be dangerous when provoked.  Often caught from the shore.  Occurs from Mozambique to False Bay",Salt,From Mozambique to Mossel Bay
Blacktip shark (Male),Carcharhinus limbatus,Swarttiphaai,Carcharhinus limbatus.jpg,Pre-caudal length,1,No limit,Open all year,220 cm,174 cm,0 cm,179 cm,143 cm,Not listed,ORANGE,Map18.jpg,"An inshore and offshore shark found on or adjacent to continental and insular shelves.  Often found off river mouths and estuaries, muddy bays, mangrove swamps, lagoons, and coral reef drop-offs.  Young common along beaches.  Feeds mainly on pelagic and bottom fish, also small sharks and rays, cephalopods and crustaceans.  Can be dangerous when provoked.  Often caught from the shore.  Occurs from Mozambique to False Bay",Salt,From Mozambique to Knysna
Blacspotted electric ray,Torpedo fuscomaculata,Swartspikkel-drilvis,Torpedo fuscomaculata.jpg,Disc width,1,No limit,Open all year,30 cm,0 cm,0 cm,0 cm,0 cm,Not listed,ORANGE,Map18.jpg,"Dull grey above with variable markings, often in the form of dark lines or large spots and white below.  Inhabits estuaries and intertidal zone.  Found in sandy areas near deep rocky reefs.  Feeds on fish and cuttlefish.  Can deliver a powerful electric shock.  Occurs from Mozambique to False Bay",Salt,From Mozambique to Knysna
Blood snapper,Lutjanus sanguineus,Bloed-snapper,Lutjanus sanguineus.jpg,Fork length,10,No limit,Open all year,70 cm,0 cm,0 cm,0 cm,0 cm,2.7 kg,NOT LISTED,Map22.jpg,"Inhabits coral and rocky reefs to depths of at least 100m.  Off South Africa it displays a preference for slightly silty, turbid regions in the vicinity of sometimes shallow, offshore banks.  Active at night when it feeds over sandy or rubble bottoms.  Occurs from Mozambique to Port Elizabeth",Salt,From False Bay to Namibia
Blotcheye soldier,Myripristis murdjan,Vlekoog-soldaat,Myripristis murdjan.jpg,Total length,10,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map24.jpg,"Occur in reef flats and shallow lagoon and seaward reefs often in or near crevices and caves.  Mainly nocturnal, feeding on plankton such as crab larvae.  Secretive, hovering under ledges and in caves.  Have been reported to be ciguatoxic.  Occurs from Mozambique to Port Edward",Salt,From Durban to Saldanha Bay
Bludger,Carangoides gymnostethus,Bludger,Carangoides gymnostethus.jpg,Fork length,10,No limit,Open all year,56 cm,0 cm,0 cm,0 cm,0 cm,14.5 kg,NOT LISTED,Map22.jpg,"Olive green above, with a few brown or golden spots sometimes.  Can be distinguished by the naked area of the breast extending up to the pectoral fin base, and the tip of the upper jaw located almost on a level with the lower margin of the eye.  Most common over deeper offshore reefs.  Larger individuals are usually solitary.  Juveniles are usually in small schools.  Feeds on shrimp and small fish.  Excellent food fish.  Occurs from Mozambique to Port Elizabeth",Salt,From Port Edward to Saldanha Bay
Blue chub,Kyphosus cinerascens,Blou vetsak,Kyphosus cinerascens.jpg,Fork length,10,No limit,Open all year,30 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map17.jpg,"Found in aggregations over hard, algal coated bottoms of exposed, surf-swept outer reef flats, lagoons and seaward reefs to depths of at least 25m.  Juveniles associated with floating material.  Mainly herbivorous, feeding on seaweed and associated invertebrates.  This species is poisonous to eat.  Occurs from Mozambique to East London",Salt,From Mozambique to Port Edward
Blue emperor,Lethrinus nebulosus,Blou keiser,Lethrinus nebulosus.jpg,Fork length,10,No limit,Open all year,70 cm,0 cm,0 cm,59 cm,47 cm,Not listed,NOT LISTED,Map16.jpg,"Body colour is yellowish or bronze and lighter below.  Centres of many scales with a white or light blue spot.  Inhabit coral reefs, lagoons, seagrass beds, mangrove swamps and coastal sand and rock areas.  Adults solitary or in small schools while juveniles form large schools in shallow, sheltered sandy areas and harbours.  Feed on echinoderms, molluscs and crustaceans, and to some extent on fish.  Have been reported to be ciguatoxic.  Occurs from Mozambique to Durban",Salt,From Port Elizabeth to Saldanha Bay
Blue hottentot,Pachymetopon aeneum,Blou hottentot,Pachymetopon aeneum.jpg,Fork length,5,No limit,Open all year,21 cm,0 cm,0 cm,0 cm,0 cm,4.75 kg,NOT LISTED,Map10.jpg,"A silvery-bronze fish with a blue head.  Frequents reefs from 20 to 80m, though juveniles are found shallower.  Feeds on benthic organisms like worms, crustaceans, molluscs and algae.  Rarely caught by shore anglers.  Occurs from Kosi Bay to False Bay",Salt,From Durban to False Bay
Blue kingfish,Carangoides ferdau,Blou koningvis,Carangoides ferdau.jpg,Fork length,5,No limit,Open all year,71 cm,71 cm,0 cm,58 cm,46 cm,Not listed,RED,Map22.jpg,"Adults generally silvery, blue-green above with 5 to 6 dusky bands and golden spots sometimes present on the body.  Found in coastal waters adjacent to sandy beaches, often near reefs.  Occurs singly or in groups.  Feeds mainly on crustaceans, molluscs and small fish.  May be ciguatoxic.  Occurs from Mozambique to Port Elizabeth",Salt,From Durban to False Bay
Blue shark (Female),Prionace glauca,Blouhaai,Prionace glauca.jpg,Total length,1,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,123.1 kg,ORANGE,Map35.jpg,"Found worldwide in temperate and tropical waters.  Highly migratory species.  Oceanic, but may be found close inshore where the continental shelf is narrow.  Usually found to at least 150m.  Prefers water between 12 and 16 degrees Celcius.  Reported from estuaries.  Feeds on fish, small sharks, squids, pelagic red crabs, carrion and occasionally sea birds and garbage.  Potentially dangerous to humans.  Occurs from Mozambique to Namibia",Salt,From Mozambique to Port Edward
Blue shark (Male),Prionace glauca,Blouhaai,Prionace glauca.jpg,Total length,1,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,123.1 kg,ORANGE,Map35.jpg,"Found worldwide in temperate and tropical waters.  Highly migratory species.  Oceanic, but may be found close inshore where the continental shelf is narrow.  Usually found to at least 150m.  Prefers water between 12 and 16 degrees Celcius.  Reported from estuaries.  Feeds on fish, small sharks, squids, pelagic red crabs, carrion and occasionally sea birds and garbage.  Potentially dangerous to humans.  Occurs from Mozambique to Namibia",Salt,From Mozambique to Port Edward
Blue stingray (Female),Dasyatis chrysonota,Blou pylstert,Dasyatis chrysonota.jpg,Disc width,1,No limit,Open all year,90 cm,77 cm,72 cm,76 cm,70 cm,Not listed,ORANGE,Map21.jpg,"The blue stingray can grow to as large as 20kg, but most specimens are in the 2 to 5kg range.  It has conspicuous bright blue blotches and branching lines on a golden brown disk.  Found in shallow bays and sheltered sandy beaches in summertime, moving to deeper waters during winter.  Feeds on bony fish and crustaceans such as crabs, shrimps and mantis shrimps.  Most commonly caught stingray in southern African waters.  They often congregate in large numbers.  They are usually targeted using fish bait – especially pilchard.   It is a venomous species that can deliver a painful sting which should be treated with hot water immediately.  Occurs from Mozambique to Namibia",Salt,From Mozambique to Saldanha Bay
Blue stingray (Male),Dasyatis chrysonota,Blou pylstert,Dasyatis chrysonota.jpg,Disc width,1,No limit,Open all year,90 cm,77 cm,72 cm,76 cm,70 cm,Not listed,ORANGE,Map21.jpg,"The blue stingray can grow to as large as 20kg, but most specimens are in the 2 to 5kg range.  It has conspicuous bright blue blotches and branching lines on a golden brown disk.  Found in shallow bays and sheltered sandy beaches in summertime, moving to deeper waters during winter.  Feeds on bony fish and crustaceans such as crabs, shrimps and mantis shrimps.  Most commonly caught stingray in southern African waters.  They often congregate in large numbers.  They are usually targeted using fish bait – especially pilchard.   It is a venomous species that can deliver a painful sting which should be treated with hot water immediately.  Occurs from Mozambique to Namibia",Salt,From Mozambique to Saldanha Bay
Bluebarred parrotfish,Scarus ghobban,Bloubalk-papegaaivis,Scarus ghobban.jpg,Fork length,10,No limit,Open all year,70 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map22.jpg,Adults inhabit lagoon and seaward reefs and over slopes and drop-offs.  Often solitary but may sometimes occur in small groups.  Prefers shallow reefs and adjacent sandy areas.  Attains a maximum length of about 75cm.  Feed by scraping algae from rocks and corals.  Occurs from Mozambique to Port Elizabeth,Salt,From Mozambique to Saldanha Bay
Bluefin kingfish,Caranx melampygus,Blouvin-koningvis,Caranx melampygus.jpg,Fork length,5,No limit,Open all year,71 cm,48 cm,0 cm,0 cm,0 cm,6.2 kg,RED,Map24.jpg,"This species is most commonly associated with offshore reefs.  Juveniles occurs seasonally in shallow sandy inshore waters.  Also found in rivers.  Like other members of the kingfish family it is a voracious predator feeding mainly on fish.  Targeted with live bait, spoons and plugs.  Often toxic when reaching more than 50cm.  Occurs from Mozambique to Port Edward",Salt,From Mozambique to Namibia
Bluefin tuna,Thunnus thynnus thynnus,Blouvin-tuna,Thunnus thynnus thynnus.jpg,Fork length,10,72 cm,Open all year,180 cm,0 cm,0 cm,0 cm,0 cm,382 kg,NOT LISTED,Map39.jpg,"A very large species with the largest published weight being over 600kg.  Oceanic but seasonally coming close to shore.  They school by size, sometimes together with albacore, yellowfin, bigeye, skipjack etc.  Preys on small schooling fish such as anchovies, sauries, hakes or on squids and red crabs.  Occurs from Mozambique to East London",Salt,From Mozambique to Namibia
Blueskin,Polysteganus coeruleopunctatus,Blouvel,Polysteganus coeruleopunctatus.jpg,Total length,10,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,4.5 kg,NOT LISTED,Map25.jpg,"Body red above to pink below with a metallic-blue sheen and blue spots on the scales.  Occurs mainly in deep waters around reefs.  Carnivorous predator, feeding mainly on crabs.  Easily confused with a number of other species, but can be identified by its blue-spotted scales.  Occurs from Mozambique to Transkei",Salt,From Mozambique to False Bay
Bluespotted ribbontail,Taeniura lymma,Bloukol-lintstertrog,Taeniura lymma.jpg,Disc width,1,No limit,Open all year,40 cm,37 cm,0 cm,36 cm,29 cm,Not listed,NOT LISTED,Map24.jpg,"A colourful stingray with large bright blue spots on its elongated oval disk and blue side stripes along its tail.  Tail less than twice body length when intact.  Occurs around coral reefs.  Migrates in groups into shallow sandy areas during the rising tide to feed on molluscs, worms, shrimps, and crabs.  It disperses on a falling tide to seek shelter in caves and under ledges.  Spine on tail is poisonous.  Occurs from Mozambique to Port Edward",Salt,From Mozambique to False Bay
Bluetail mullet,Valamugil buchanani,Bloustert-harder,Valamugil buchanani.jpg,Fork length,50,No limit,Open all year,47 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map19.jpg,"Characterised by the bright blue tail.  Reaches a maximum length of about 100cm.  Inhabit coastal waters, including estuaries and rivers.  Young fish frequent estuaries and also ascend rivers.  Feed on algae, diatoms, detritus, and crustaceans.  Occurs from Mozambique to Knysna",Salt,From Mozambique to Namibia
Bluntnose guitarfish,Rhinobatos blochii,Stompneus-sandkruiper,Rhinobatos blochii.jpg,Total length,1,No limit,Open all year,116 cm,116 cm,0 cm,0 cm,86 cm,Not listed,NOT LISTED,Map1.jpg,A rare and little known species that is found inshore in shallow bays and off sandy beaches.  Young have a few white spots on the dorsal surface.  Often confused with the Lesser Guitarfish.  It is particularly common along the West Coast.  Occurs from Cape to Namibia,Salt,From Mozambique to Namibia
Bohar / Twinspot snapper,Lutjanus bohar,Tweekol-snapper,Lutjanus bohar.jpg,Fork length,10,No limit,Open all year,64 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map16.jpg,"Inhabits coral reefs, including sheltered lagoons and outer reefs.  Usually found singly, often adjacent to steep outer reef slopes, but occasionally found in groups.  Feeds mainly on fish, but also takes shrimps, crabs and other invertebrates.  Has been reported to be ciguatoxic.  Occurs from Mozambique to Durban",Salt,From Mozambique to False Bay
Bonefish,Albula glossodonta,Beenvis,Albula glossodonta.jpg,Fork length,10,No limit,Open all year,84 cm,81 cm,77 cm,81 cm,65 cm,6.45 kg,NOT LISTED,Map17.jpg,"Inhabits shallow coastal waters, estuaries and bays, over sand and mud bottoms, often in very shallow water.  Often in schools, except for large individuals which are solitary.  Feeds on benthic worms, crustaceans, and molluscs.  Tolerates oxygen poor water by inhaling air into a lung-like airbladder.  One of the most important game fishes worldwide.  Most catches from the beach are made during the night.  It is not a good eating fish as it has many small bones and have also been reported to be ciguatoxic.  While it is mostly targeted with life-like artificial lures, it can also be targeted with well-presented bait such as prawns and sea lice.  Excellent bait for large game fish.  Occurs from Mozambique to East London",Salt,From Mozambique to Port Elizabeth
Brassy chub,Kyphosus vaigiensis,Brons vetsak,Kyphosus vaigiensis.jpg,Fork length,10,No limit,Open all year,46 cm,0 cm,0 cm,32 cm,26 cm,Not listed,NOT LISTED,Map22.jpg,"Aggregate over hard, algal coated bottoms of exposed surf-swept outer reef flats, lagoons, and seaward reefs to a depth of at least 30m.  Found in exposed areas around rocky reefs.  Adults are carnivorous during summer and autumn but feed on algae during winter.  Occurs from Mozambique to Port Elizabeth",Salt,From East London to Namibia
